HITId,HITTypeId,,,,Reward,CreationTime,,,,,,,,AssignmentId,WorkerId,,,,,,,,WorkTimeInSeconds,,,,Input.links,Answer.suggestion_texts,Answer.surveycode,,Duration (min.)
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,32XVDSJFP18VAG65K2VY1BBU302M2S,A29GLTXKFWGH1Z,,,,,,,,129,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,code not found,"[{""i"":""mturk_id"",""r"":""A29GLTXKFWGH1Z"",""d"":0},{""i"":""2008_004303"",""r"":""8""},{""i"":""2008_005300"",""r"":""8""},{""i"":""2008_005496"",""r"":""8""},{""i"":""2008_005566"",""r"":""9""},{""i"":""2008_005600"",""r"":""7""},{""i"":""2008_006081"",""r"":""8""},{""i"":""2008_006377"",""r"":""6""},{""i"":""2008_006609"",""r"":""9""},{""i"":""2008_007403"",""r"":""6""},{""i"":""2008_007610"",""r"":""10""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""6""},{""i"":""2009_001391"",""r"":""5""},{""i"":""2009_002008"",""r"":""7""}]",50,5
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,35GMH2SV3GSB5Z3XQ25CVG9OV30EOU,A2KWEVSI7P1RGQ,,,,,,,,1992,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,code not found,"[{""i"":""mturk_id"",""r"":""A2KWEVSI7P1RGQ"",""d"":0},{""i"":""2008_004303"",""r"":""10""},{""i"":""2008_005300"",""r"":""7""},{""i"":""2008_005496"",""r"":""7""},{""i"":""2008_005566"",""r"":""7""},{""i"":""2008_005600"",""r"":""7""},{""i"":""2008_006081"",""r"":""8""},{""i"":""2008_006377"",""r"":""6""},{""i"":""2008_006609"",""r"":""7""},{""i"":""2008_007403"",""r"":""6""},{""i"":""2008_007610"",""r"":""7""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""5""},{""i"":""2009_001391"",""r"":""8""},{""i"":""2009_002008"",""r"":""6""}]",40,4
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,39K0FND3AJQKFJ19XHOD7TUSFN5MA8,A2B6WQG0A9CKXQ,,,,,,,,2182,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,{},"[{""i"":""mturk_id"",""r"":""A2B6WQG0A9CKXQ"",""d"":0},{""i"":""2008_004303"",""r"":""2""},{""i"":""2008_005300"",""r"":""4""},{""i"":""2008_005496"",""r"":""6""},{""i"":""2008_005566"",""r"":""9""},{""i"":""2008_005600"",""r"":""9""},{""i"":""2008_006081"",""r"":""5""},{""i"":""2008_006377"",""r"":""9""},{""i"":""2008_006609"",""r"":""8""},{""i"":""2008_007403"",""r"":""3""},{""i"":""2008_007610"",""r"":""8""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""9""},{""i"":""2009_002008"",""r"":""4""}]",40,4
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3B3WTRP3DDDG3WNBVTRTWP5A31Y29C,A5PKYZJRK1ZFW,,,,,,,,950,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,"Make it much clearer what the code is please, I'm not sure I even pasted the right thing","[{""i"":""mturk_id"",""r"":""A5PKYZJRK1ZFW"",""d"":0},{""i"":""2008_004303"",""r"":""5""},{""i"":""2008_005300"",""r"":""7""},{""i"":""2008_005496"",""r"":""3""},{""i"":""2008_005566"",""r"":""7""},{""i"":""2008_005600"",""r"":""5""},{""i"":""2008_006081"",""r"":""5""},{""i"":""2008_006377"",""r"":""5""},{""i"":""2008_006609"",""r"":""6""},{""i"":""2008_007403"",""r"":""4""},{""i"":""2008_007610"",""r"":""8""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""7""},{""i"":""2009_002008"",""r"":""6""}]",50,5
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3NPI0JQDAQGVFIXVVX7MJ2EF8HYTPT,A2ZQCHONMAJZF,,,,,,,,878,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,Maybe make the survey code a bit shorter instead of a whole browser length worth.,"[{""i"":""mturk_id"",""r"":""A2ZQCHONMAJZF"",""d"":0},{""i"":""2008_004303"",""r"":""2""},{""i"":""2008_005300"",""r"":""1""},{""i"":""2008_005496"",""r"":""5""},{""i"":""2008_005566"",""r"":""10""},{""i"":""2008_005600"",""r"":""10""},{""i"":""2008_006081"",""r"":""1""},{""i"":""2008_006377"",""r"":""9""},{""i"":""2008_006609"",""r"":""8""},{""i"":""2008_007403"",""r"":""1""},{""i"":""2008_007610"",""r"":""8""},{""i"":""2009_000504"",""r"":""7""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""9""},{""i"":""2009_002008"",""r"":""4""}]",30,3
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3RXPCZQMQRMOTLSNQVXPJNHSF7PG18,A2BZY06YRWGEDL,,,,,,,,225,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,{},"[{""i"":""mturk_id"",""r"":""A2BZY06YRWGEDL"",""d"":0},{""i"":""2008_004303"",""r"":""2""},{""i"":""2008_005300"",""r"":""1""},{""i"":""2008_005496"",""r"":""6""},{""i"":""2008_005566"",""r"":""7""},{""i"":""2008_005600"",""r"":""7""},{""i"":""2008_006081"",""r"":""1""},{""i"":""2008_006377"",""r"":""7""},{""i"":""2008_006609"",""r"":""8""},{""i"":""2008_007403"",""r"":""1""},{""i"":""2008_007610"",""r"":""7""},{""i"":""2009_000504"",""r"":""5""},{""i"":""2009_000684"",""r"":""8""},{""i"":""2009_001391"",""r"":""7""},{""i"":""2009_002008"",""r"":""5""}]",40,4
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3TOK3KHVJVTQWKON3UR6P6H79FJ7OM,A2RJBMEEVBZ8EZ,,,,,,,,1956,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,no,"[{""i"":""mturk_id"",""r"":""A2RJBMEEVBZ8EZ"",""d"":0},{""i"":""2008_004303"",""r"":""4""},{""i"":""2008_005300"",""r"":""5""},{""i"":""2008_005496"",""r"":""8""},{""i"":""2008_005566"",""r"":""5""},{""i"":""2008_005600"",""r"":""8""},{""i"":""2008_006081"",""r"":""3""},{""i"":""2008_006377"",""r"":""6""},{""i"":""2008_006609"",""r"":""4""},{""i"":""2008_007403"",""r"":""3""},{""i"":""2008_007610"",""r"":""6""},{""i"":""2009_000504"",""r"":""4""},{""i"":""2009_000684"",""r"":""6""},{""i"":""2009_001391"",""r"":""4""},{""i"":""2009_002008"",""r"":""7""}]",70,10
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3TVSS0C0E3BLZRUW7JLHBWMB1E1WTR,ACZK4PTILUFAP,,,,,,,,1079,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,{},"[{""i"":""mturk_id"",""r"":""ACZK4PTILUFAP"",""d"":0},{""i"":""2008_004303"",""r"":""5""},{""i"":""2008_005300"",""r"":""4""},{""i"":""2008_005496"",""r"":""4""},{""i"":""2008_005566"",""r"":""6""},{""i"":""2008_005600"",""r"":""4""},{""i"":""2008_006081"",""r"":""6""},{""i"":""2008_006377"",""r"":""6""},{""i"":""2008_006609"",""r"":""5""},{""i"":""2008_007403"",""r"":""6""},{""i"":""2008_007610"",""r"":""5""},{""i"":""2009_000504"",""r"":""5""},{""i"":""2009_000684"",""r"":""5""},{""i"":""2009_001391"",""r"":""8""},{""i"":""2009_002008"",""r"":""7""}]",50,5
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3YOH7BII0BI9HJ44N02TO3G1BSGKV7,AYYSG3O9FNU15,,,,,,,,283,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,{},"[{""i"":""mturk_id"",""r"":""AYYSG3O9FNU15"",""d"":0},{""i"":""2008_004303"",""r"":""3""},{""i"":""2008_005300"",""r"":""6""},{""i"":""2008_005496"",""r"":""7""},{""i"":""2008_005566"",""r"":""9""},{""i"":""2008_005600"",""r"":""9""},{""i"":""2008_006081"",""r"":""2""},{""i"":""2008_006377"",""r"":""8""},{""i"":""2008_006609"",""r"":""9""},{""i"":""2008_007403"",""r"":""1""},{""i"":""2008_007610"",""r"":""7""},{""i"":""2009_000504"",""r"":""4""},{""i"":""2009_000684"",""r"":""7""},{""i"":""2009_001391"",""r"":""7""},{""i"":""2009_002008"",""r"":""6""}]",40,4
375VSR8FVXKARNPGOFVSL1JMZDZZRO,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3ZAK8W07I6P7RE80EHI69XZ9JOI0UB,A1UHNDB2EQ8TK0,,,,,,,,1383,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=1,{},{},,0
3W9XHF7WGL6SI73MS3XDY1WRJPJKT0,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,30H4UDGLT4TR2N7BM06AXOJNE92PMO,A23NUJAGS4J5N,,,,,,,,432,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=2,{},"[{""i"":""mturk_id"",""r"":""A23NUJAGS4J5N"",""d"":0},{""i"":""2009_003904"",""r"":""8""},{""i"":""2010_000500"",""r"":""10""},{""i"":""2010_000799"",""r"":""10""},{""i"":""2010_003299"",""r"":""2""},{""i"":""2010_004712"",""r"":""9""},{""i"":""2010_005344"",""r"":""6""},{""i"":""2010_005697"",""r"":""9""},{""i"":""2011_001900"",""r"":""10""},{""i"":""2007_001239"",""r"":""4""},{""i"":""2007_001763"",""r"":""7""},{""i"":""2007_008260"",""r"":""6""},{""i"":""2007_008415"",""r"":""3""},{""i"":""2007_009331"",""r"":""4""},{""i"":""2007_009562"",""r"":""5""},{""i"":""2007_009562"",""r"":""5""}]",60,6
3W9XHF7WGL6SI73MS3XDY1WRJPJKT0,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,388U7OUMF9CFBMGJANN14MCPCPCR0W,A2KC0PSGG2OIQX,,,,,,,,987,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=2,NO,"[{""i"":""mturk_id"",""r"":""A2KC0PSGG2OIQX"",""d"":0},{""i"":""2009_003904"",""r"":""5""},{""i"":""2010_000500"",""r"":""4""},{""i"":""2010_000799"",""r"":""4""},{""i"":""2010_003299"",""r"":""3""},{""i"":""2010_004712"",""r"":""3""},{""i"":""2010_005344"",""r"":""6""},{""i"":""2010_005697"",""r"":""5""},{""i"":""2011_001900"",""r"":""5""},{""i"":""2007_001239"",""r"":""4""},{""i"":""2007_001763"",""r"":""4""},{""i"":""2007_008260"",""r"":""3""},{""i"":""2007_008415"",""r"":""3""},{""i"":""2007_009331"",""r"":""4""},{""i"":""2007_009562"",""r"":""6""},{""i"":""2007_009562"",""r"":""6""}]",30,3
3W9XHF7WGL6SI73MS3XDY1WRJPJKT0,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,39GXDJN2OVPPMI23EB5QYY7AGSN8VD,A29GLTXKFWGH1Z,,,,,,,,2927,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=2,{},"[{""i"":""mturk_id"",""r"":""A29GLTXKFWGH1Z"",""d"":0},{""i"":""2009_003904"",""r"":""10""},{""i"":""2010_000500"",""r"":""10""},{""i"":""2010_000500"",""r"":""10""},{""i"":""2010_000799"",""r"":""10""},{""i"":""2010_003299"",""r"":""10""},{""i"":""2010_004712"",""r"":""10""},{""i"":""2010_005344"",""r"":""10""},{""i"":""2010_005697"",""r"":""10""},{""i"":""2011_001900"",""r"":""10""},{""i"":""2007_001239"",""r"":""7""},{""i"":""2007_001763"",""r"":""8""},{""i"":""2007_008260"",""r"":""9""},{""i"":""2007_008415"",""r"":""4""},{""i"":""2007_009331"",""r"":""7""},{""i"":""2007_009562"",""r"":""7""}]",60,6
3W9XHF7WGL6SI73MS3XDY1WRJPJKT0,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3A0EX8ZRNAZPSAVFMYCKWZ156F2BYG,A2O7LNRIBPIHAF,,,,,,,,2273,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=2,No issues. Thank you.,"[{""i"":""mturk_id"",""r"":""A2O7LNRIBPIHAF"",""d"":0},{""i"":""2009_003904"",""r"":""8""},{""i"":""2010_000500"",""r"":""9""},{""i"":""2010_000799"",""r"":""9""},{""i"":""2010_003299"",""r"":""3""},{""i"":""2010_004712"",""r"":""9""},{""i"":""2010_005344"",""r"":""5""},{""i"":""2010_005697"",""r"":""9""},{""i"":""2011_001900"",""r"":""9""},{""i"":""2007_001239"",""r"":""5""},{""i"":""2007_001763"",""r"":""5""},{""i"":""2007_008260"",""r"":""7""},{""i"":""2007_008415"",""r"":""2""},{""i"":""2007_009331"",""r"":""4""},{""i"":""2007_009562"",""r"":""3""},{""i"":""2007_009562"",""r"":""3""}]",50,5
3W9XHF7WGL6SI73MS3XDY1WRJPJKT0,3T5H7R2NRDVYOAEKH1BETGKV1NUWZ5,,,,$0.40 ,Mon Apr 13 15:33:23 PDT 2020,,,,,,,,3HFNH7HEMJPCAPC4BAN4KOP0NK2GQQ,A1OKRXYRGH6Y4S,,,,,,,,1264,,,,http://people.tamu.edu/~sina.mohseni/explanationsrating.html?key=2,nothing,arun,70,10
